Model Type,Model,Accuracy,Precision,Recall,F1 Score,AUC,MAE,RMSE,R2,Adjusted R2
Classification,logistic_regression,0.8089887640449438,0.7833333333333333,0.6911764705882353,0.734375,0.8609625668449199,N/A,N/A,N/A,N/A
Classification,decision_tree,0.7696629213483146,0.6901408450704225,0.7205882352941176,0.7050359712230215,0.754144385026738,N/A,N/A,N/A,N/A
Classification,random_forest,0.8202247191011236,0.78125,0.7352941176470589,0.7575757575757576,0.8179144385026736,N/A,N/A,N/A,N/A
Regression,Linear Regression,N/A,N/A,N/A,N/A,N/A,21.0986,41.7021,0.3482,0.3213
